   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    delta0    pairing    Equad     Eoct     beta2
  46 108 Pd  2.5   9.228  1.100E+01  9.000E-01   8   1.540   22   2.391   3.17786   0.14692   5.82764   0.085   1.15470   0.15487   1.13331   1.74356   0.190
  46 109 Pd  0.0   6.154  1.820E+02  3.300E+01   8   0.291   16   0.434   3.82628   0.14647   5.99063   0.210   1.14939   1.46233   1.09404   1.68313   0.226
  46 111 Pd  0.0   5.726  1.500E+02  5.000E+01   7   0.275   15   0.585   4.15085   0.14558   6.96488   0.455   1.13899   1.04540   1.06310   1.63554  -0.250
  47 108 Ag -0.5   7.271  2.200E+01  4.000E+00   3   0.156   28   0.534   2.52108   0.14692   7.18139   0.195   1.15470   0.46844   1.16636   1.79441   0.162
  47 110 Ag -0.5   6.809  1.510E+01  1.400E+00   6   0.199   18   0.381   3.37599   0.14602   7.61164   0.115   1.14416   0.47864   1.10666   1.70255   0.171
  48 107 Cd  0.0   7.924  1.350E+02  3.500E+01   6   0.702   16   1.060   0.34826   0.14738   6.97523   0.255   1.16008   0.58407   1.30096   2.00147   0.135
  48 109 Cd  0.0   7.327  1.200E+02  3.000E+01   5   0.463   17   1.106   1.59715   0.14647   7.02314   0.275   1.14939   0.54226   1.20696   1.85686   0.135
  48 111 Cd  0.0   6.976  1.550E+02  2.000E+01   4   0.417   27   1.151   2.37875   0.14558   6.73271   0.145   1.13899   0.69816   1.14729   1.76506   0.154
  48 112 Cd  0.5   9.394  2.000E+01  4.000E+00   6   1.469   27   2.507   2.41276   0.14515   6.43074   0.210   1.13389   0.10780   1.13702   1.74925   0.144
  48 113 Cd  0.0   6.540  1.900E+02  2.500E+01   6   0.530   15   0.870   2.93438   0.14472   6.44357   0.150   1.12887   0.78485   1.10295   1.69685   0.163
  48 114 Cd  0.5   9.043  2.480E+01  2.600E+00   6   1.364   23   2.392   2.74087   0.14430   6.13566   0.115   1.12390   0.11178   1.10420   1.69877   0.163
  48 115 Cd  0.0   6.141  2.350E+02  3.500E+01   8   0.474   16   0.896   3.11318   0.14388   6.78590   0.185   1.11901   0.56963   1.07854   1.65929  -0.233
  48 117 Cd  0.0   5.777  3.900E+02  9.000E+01   6   0.338   15   0.691   2.92291   0.14305   6.51798   0.285   1.10940   0.83715   1.07198   1.64920  -0.250
  49 114 In  4.5   7.274  1.300E+01  3.000E+00   6   0.536   15   0.729   2.25012   0.14430   6.82609   0.250   1.12390  -0.05456   1.12856   1.73624   0.089
  49 116 In  4.5   6.785  9.500E+00  5.000E-01   8   0.373   15   0.557   2.59308   0.14346   7.52217   0.065   1.11417   0.00837   1.09543   1.68528   0.099
  50 113 Sn  0.0   7.743  1.570E+02  5.200E+01   4   0.738   17   1.540   0.75123   0.14472   7.18579   0.360   1.12887  -0.02925   1.21899   1.87537   0.045
  50 115 Sn  0.0   7.546  2.860E+02  1.060E+02   4   0.987   21   2.077   1.00591   0.14388   7.38546   0.435   1.11901  -0.43789   1.18673   1.82575   0.018
  50 117 Sn  0.0   6.943  3.800E+02  1.300E+02   7   1.304   15   1.589   1.44119   0.14305   6.99472   0.415   1.10940  -0.25732   1.14606   1.76316  -0.044
  50 118 Sn  0.5   9.327  5.500E+01  5.000E+00   2   1.758   15   2.575   1.18009   0.14265   6.40963   0.095   1.10469  -0.23518   1.15199   1.77229   0.000
  50 119 Sn  0.0   6.484  4.800E+02  9.000E+01   8   1.089   15   1.379   1.46645   0.14225   6.88270   0.220   1.10004   0.15149   1.12865   1.73639   0.000
  50 120 Sn  0.5   9.108  9.000E+01  2.000E+01   6   2.194   21   2.750   0.88142   0.14185   6.32366   0.225   1.09545  -0.37821   1.15221   1.77263   0.000
  50 121 Sn  0.0   6.170  1.640E+03  2.000E+02   3   0.664   19   1.441   0.96766   0.14146   6.07635   0.135   1.09091   0.19222   1.13956   1.75318  -0.008
  50 125 Sn  0.0   5.733  5.000E+03  1.200E+03   8   1.072   16   1.892  -1.44208   0.13993   7.77250   0.285   1.07331  -0.63123   1.25311   1.92786   0.000
  51 122 Sb  2.5   6.806  1.300E+01  2.000E+00   2   0.078   17   0.334   1.67533   0.14107   7.58860   0.170   1.08643   0.41628   1.09482   1.68435  -0.113
  51 124 Sb  3.5   6.468  2.400E+01  3.000E+00   8   0.132   15   0.248   0.76078   0.14031   7.62447   0.140   1.07763   0.45330   1.12767   1.73488  -0.105
  52 123 Te  0.0   6.929  1.320E+02  1.500E+01   7   0.533   16   0.887   1.99282   0.14069   7.00139   0.130   1.08200   0.51612   1.07170   1.64878  -0.139
  52 124 Te  0.5   9.424  1.700E+01  3.000E+00   7   1.958   15   2.282   1.30731   0.14031   7.24084   0.185   1.07763  -0.12526   1.09874   1.69038  -0.113
  52 125 Te  0.0   6.569  1.900E+02  2.000E+01   2   0.145   15   0.805   1.24816   0.13993   7.36675   0.125   1.07331   0.67086   1.09445   1.68377  -0.113
  52 126 Te  0.5   9.114  3.800E+01  5.000E+00   3   1.420   16   2.386   0.36342   0.13956   7.28391   0.140   1.06904  -0.13814   1.13445   1.74530  -0.105
  52 127 Te  0.0   6.288  5.500E+02  1.000E+02   2   0.088   16   0.984   0.10162   0.13919   7.37870   0.200   1.06483   0.45038   1.14168   1.75642  -0.104
  52 129 Te  0.0   6.082  7.400E+02  1.500E+02   3   0.244   16   0.967  -1.46133   0.13847   8.74775   0.235   1.05654   0.32080   1.22191   1.87987  -0.008
  52 131 Te  0.0   5.929  1.500E+03  5.000E+02   7   0.943   16   1.470  -3.42307   0.13776  10.17987   0.380   1.04844  -0.29056   1.34911   2.07555   0.000
  53 128 I   2.5   6.826  1.500E+01  3.000E+00   8   0.161   18   0.296   0.63753   0.13883   7.98500   0.215   1.06066   0.42254   1.10478   1.69967  -0.122
  53 130 I   3.5   6.500  3.000E+01  3.000E+00   8   0.080   22   0.265  -0.68021   0.13812   8.21324   0.105   1.05247   0.42909   1.16499   1.79229  -0.104
  54 129 Xe  0.0   6.909  2.500E+02  1.000E+02   5   0.322   21   0.909   0.96432   0.13847   6.71248   0.435   1.05654   0.59243   1.08053   1.66236   0.143
  54 130 Xe  0.5   9.256  3.800E+01  5.000E+00   8   1.944   21   2.362   0.15310   0.13812   7.19636   0.130   1.05247  -0.11065   1.11682   1.71818  -0.113
  54 131 Xe  0.0   6.605  2.300E+02  6.000E+01   5   0.405   17   1.034  -0.17704   0.13776   8.37420   0.305   1.04844   0.31830   1.12819   1.73568  -0.113
  54 132 Xe  1.5   8.937  4.900E+01  1.500E+01   5   1.850   17   2.353  -1.15114   0.13741   7.43228   0.300   1.04447  -0.12300   1.17900   1.81384   0.000
  54 133 Xe  0.0   6.434  7.500E+02  2.360E+02   8   0.911   16   1.386  -1.76799   0.13707   8.90345   0.360   1.04053  -0.12597   1.21125   1.86346  -0.018
  54 135 Xe  0.0   6.364  1.600E+03  6.000E+02   8   1.565   17   2.093  -3.80469   0.13639  11.46538   0.455   1.03280  -0.96127   1.34672   2.07187   0.027
  54 137 Xe  0.0   4.026  1.300E+04  6.000E+03   6   1.461   15   1.809  -3.89606   0.13572  13.70422   0.745   1.02523  -0.60537   1.33786   2.05825  -0.018
  55 134 Cs  3.5   6.892  2.100E+01  2.000E+00   8   0.194   15   0.291  -0.89501   0.13673   8.41879   0.105   1.03664   0.27588   1.14871   1.76724  -0.104
  56 131 Ba  0.0   7.494  5.800E+01  1.000E+01   6   0.365   18   0.895   1.69359   0.13776   7.30158   0.190   1.04844   0.51448   1.03091   1.58601   0.162
  56 133 Ba  0.0   7.190  1.100E+02  3.500E+01   4   0.302   17   1.022   0.80672   0.13707   7.76211   0.360   1.04053   0.38443   1.06136   1.63286   0.126
  56 135 Ba  0.0   6.972  3.710E+02  3.600E+01   2   0.268   15   1.214  -0.46966   0.13639   7.63974   0.105   1.03280   0.08272   1.11675   1.71807  -0.113
  56 136 Ba  1.5   9.108  4.000E+01  6.000E+00   4   1.867   19   2.391  -1.40178   0.13605   7.72415   0.150   1.02899  -0.19969   1.16553   1.79312   0.000
  56 137 Ba  0.0   6.906  1.210E+03  1.190E+02   7   1.464   15   2.047  -2.24398   0.13572   8.91652   0.115   1.02523  -0.98248   1.21338   1.86674   0.035
  56 138 Ba  1.5   8.612  2.600E+02  5.000E+01   8   2.340   21   2.991  -3.13522   0.13539   8.28100   0.190   1.02151  -1.03600   1.26978   1.95352   0.000
  56 139 Ba  0.0   4.723  1.870E+04  2.900E+03   5   1.421   15   1.877  -2.22903   0.13507   8.39844   0.205   1.01783  -0.73206   1.19781   1.84278  -0.026
  57 139 La  5.0   8.778  3.200E+01  6.000E+00   4   1.257   21   1.856  -2.22290   0.13507   7.66894   0.175   1.01783  -0.49096   1.19739   1.84214   0.000
  57 140 La  3.5   5.161  2.200E+02  4.000E+01   8   0.163   25   0.831  -1.41655   0.13475   9.51947   0.230   1.01419  -0.41010   1.13862   1.75172  -0.035
  58 137 Ce  0.0   7.482  5.000E+01  2.000E+01   8   0.867   17   1.337   0.50146   0.13572   8.84106   0.495   1.02523  -0.02692   1.05089   1.61676  -0.122
  58 141 Ce  0.0   5.428  3.100E+03  5.000E+02   6   1.497   19   2.044  -1.07756   0.13443   9.04358   0.220   1.01058  -0.77508   1.11160   1.71016  -0.035
  58 142 Ce -3.5   7.170  6.500E+01  2.000E+01   2   1.219   21   2.384  -0.31566   0.13411   7.40909   0.370   1.00702  -0.16841   1.06230   1.63431   0.000
  58 143 Ce  0.0   5.145  1.100E+03  5.000E+02   2   0.042   17   1.298   0.40921   0.13380   7.82719   0.655   1.00349   0.02631   1.01860   1.56708   0.134
  59 142 Pr  2.5   5.843  1.100E+02  2.000E+01   8   0.145   24   0.911  -0.43843   0.13411   8.61260   0.220   1.00702  -0.42433   1.06897   1.64457  -0.035
  60 143 Nd  0.0   6.124  8.600E+02  8.000E+01   8   1.556   23   2.005  -0.41815   0.13380   8.73128   0.125   1.00349  -0.63799   1.06164   1.63329  -0.035
