 Z= 109 A= 249  Mt beta2= 0.40 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
  12.700   4.411357E-06   6.381236E-06   2.709709E-06  -2.540738E-07  -7.755925E-07   2.731191E-06   3.992272E-06   1.906599E-06   2.471328E-07  -1.282240E-07
  12.800   3.683087E-06   5.370935E-06   2.309132E-06  -2.376192E-07  -7.179623E-07   2.310820E-06   3.412525E-06   1.656716E-06   2.077200E-07  -1.407432E-07
  12.900   3.067468E-06   4.508551E-06   1.963301E-06  -2.181034E-07  -6.590772E-07   1.952269E-06   2.912791E-06   1.439973E-06   1.784767E-07  -1.449862E-07
  13.000   2.547187E-06   3.772391E-06   1.663911E-06  -1.974113E-07  -6.000238E-07   1.645999E-06   2.481004E-06   1.250493E-06   1.563960E-07  -1.429118E-07
  13.100   2.107937E-06   3.144619E-06   1.404534E-06  -1.767471E-07  -5.417532E-07   1.384255E-06   2.107532E-06   1.083936E-06   1.392846E-07  -1.361837E-07
  13.200   1.737780E-06   2.610349E-06   1.180074E-06  -1.568358E-07  -4.850834E-07   1.160661E-06   1.784554E-06   9.370618E-07   1.255712E-07  -1.262046E-07
  13.300   1.426654E-06   2.156979E-06   9.863638E-07  -1.380776E-07  -4.307007E-07   9.699054E-07   1.505602E-06   8.074062E-07   1.141543E-07  -1.141421E-07
  13.400   1.165999E-06   1.773686E-06   8.198815E-07  -1.206616E-07  -3.791612E-07   8.075080E-07   1.265223E-06   6.930380E-07   1.042821E-07  -1.009511E-07
  13.500   9.484764E-07   1.451069E-06   6.775533E-07  -1.046486E-07  -3.308945E-07   6.696409E-07   1.058728E-06   5.923846E-07   9.545799E-08  -8.739472E-08
  13.600   7.677498E-07   1.180879E-06   5.566245E-07  -9.002705E-08  -2.862094E-07   5.529986E-07   8.820145E-07   5.041093E-07   8.736745E-08  -7.406396E-08
  13.700   6.183274E-07   9.558380E-07   4.545802E-07  -7.675079E-08  -2.453011E-07   4.547015E-07   7.314492E-07   4.270295E-07   7.982172E-08  -6.139804E-08
  13.800   4.954367E-07   7.695008E-07   3.691015E-07  -6.476050E-08  -2.082614E-07   3.722244E-07   6.037792E-07   3.600639E-07   7.271601E-08  -4.970431E-08
  13.900   3.949285E-07   6.161606E-07   2.980442E-07  -5.399533E-08  -1.750893E-07   3.033449E-07   4.960775E-07   3.022033E-07   6.599881E-08  -3.917821E-08
  14.000   3.132022E-07   4.907757E-07   2.394328E-07  -4.439716E-08  -1.457038E-07   2.461040E-07   4.057060E-07   2.524951E-07   5.965026E-08  -2.992245E-08
  14.100   2.471427E-07   3.889115E-07   1.914604E-07  -3.591068E-08  -1.199568E-07   1.987768E-07   3.302905E-07   2.100382E-07   5.366732E-08  -2.196528E-08
  14.200   1.940684E-07   3.066920E-07   1.524915E-07  -2.848141E-08  -9.764685E-08   1.598487E-07   2.677020E-07   1.739840E-07   4.805420E-08  -1.527738E-08
  14.300   1.516839E-07   2.407546E-07   1.210639E-07  -2.205307E-08  -7.853213E-08   1.279955E-07   2.160432E-07   1.435394E-07   4.281640E-08  -9.787025E-09
  14.400   1.180379E-07   1.882062E-07   9.588761E-08  -1.656540E-08  -6.234310E-08   1.020661E-07   1.736350E-07   1.179712E-07   3.795746E-08  -5.393362E-09
  14.500   9.148465E-08   1.465809E-07   7.584051E-08  -1.195276E-08  -4.879414E-08   8.106590E-08   1.390030E-07   9.660899E-08   3.347734E-08  -1.977747E-09
  14.600   7.064660E-08   1.137965E-07   5.996006E-08  -8.143935E-09  -3.759389E-08   6.414210E-08   1.108641E-07   7.884744E-08   2.937191E-08   5.869369E-10
  14.700   5.438085E-08   8.811221E-08   4.743237E-08  -5.062733E-09  -2.845411E-08   5.056852E-08   8.811095E-08   6.414629E-08   2.563309E-08   2.428882E-09
  14.800   4.174727E-08   6.808691E-08   3.757875E-08  -2.629509E-09  -2.109697E-08   3.973168E-08   6.979650E-08   5.202892E-08   2.224921E-08   3.671727E-09
  14.900   3.197926E-08   5.253954E-08   2.984093E-08  -7.630857E-10  -1.526077E-08   3.111730E-08   5.511789E-08   4.207945E-08   1.920562E-08   4.430544E-09
  15.000   2.445721E-08   4.051147E-08   2.376573E-08   6.170921E-10  -1.070406E-08   2.429751E-08   4.340016E-08   3.393867E-08   1.648526E-08   4.809204E-09
  15.100   1.868463E-08   3.123205E-08   1.898981E-08   1.588855E-09  -7.208285E-09   1.891905E-08   3.408052E-08   2.729917E-08   1.406923E-08   4.898912E-09
  15.200   1.426701E-08   2.408736E-08   1.522528E-08   2.225448E-09  -4.579223E-09   1.469228E-08   2.669333E-08   2.190015E-08   1.193728E-08   4.777691E-09
  15.300   1.089345E-08   1.859263E-08   1.224641E-08   2.594045E-09  -2.647238E-09   1.138146E-08   2.085611E-08   1.752197E-08   1.006833E-08   4.510578E-09
