 Z= 100 A= 230  Fm beta2= 0.11 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
  10.200   1.679966E-04   9.146021E-05   7.756226E-05   4.594210E-05   2.143699E-05   7.871629E-05   6.065464E-05   4.469590E-05   2.437764E-05   1.212865E-05
  10.300   1.378454E-04   7.324216E-05   6.178839E-05   3.675101E-05   1.712862E-05   6.345470E-05   4.790506E-05   3.469636E-05   1.882819E-05   9.406790E-06
  10.400   1.132768E-04   5.867800E-05   4.907587E-05   2.928235E-05   1.361229E-05   5.136737E-05   3.789589E-05   2.684394E-05   1.444710E-05   7.237912E-06
  10.500   9.320947E-05   4.705738E-05   3.887007E-05   2.324262E-05   1.076149E-05   4.176271E-05   3.005299E-05   2.070719E-05   1.101229E-05   5.524517E-06
  10.600   7.677719E-05   3.779704E-05   3.070596E-05   1.838012E-05   8.464542E-06   3.409985E-05   2.391362E-05   1.593232E-05   8.337071E-06   4.181992E-06
  10.700   6.328679E-05   3.042169E-05   2.419697E-05   1.448153E-05   6.624513E-06   2.795716E-05   1.910786E-05   1.223210E-05   6.266624E-06   3.138245E-06
  10.800   5.218391E-05   2.454659E-05   1.902397E-05   1.136792E-05   5.158477E-06   2.300685E-05   1.534211E-05   9.375321E-06   4.674127E-06   2.332851E-06
  10.900   4.302498E-05   1.986218E-05   1.492521E-05   8.890472E-06   3.996394E-06   1.899467E-05   1.238488E-05   7.177321E-06   3.456815E-06   1.715911E-06
  11.000   3.545457E-05   1.612074E-05   1.168708E-05   6.926395E-06   3.079770E-06   1.572364E-05   1.005476E-05   5.491563E-06   2.532215E-06   1.246766E-06
  11.100   2.918722E-05   1.312505E-05   9.136076E-06   5.374985E-06   2.360230E-06   1.304130E-05   8.210353E-06   4.202441E-06   1.834685E-06   8.926756E-07
  11.200   2.399293E-05   1.071880E-05   7.131841E-06   4.154098E-06   1.798111E-06   1.082955E-05   6.742020E-06   3.219212E-06   1.312348E-06   6.275557E-07
  11.300   1.968557E-05   8.778635E-06   5.561249E-06   3.197029E-06   1.361129E-06   8.996757E-06   5.565139E-06   2.470967E-06   9.244553E-07   4.308111E-07
  11.400   1.611381E-05   7.207529E-06   4.333435E-06   2.449814E-06   1.023174E-06   7.471599E-06   4.614686E-06   1.902526E-06   6.391637E-07   2.863075E-07
  11.500   1.315392E-05   5.929416E-06   3.375667E-06   1.868936E-06   7.632390E-07   6.198252E-06   3.840880E-06   1.471122E-06   4.316973E-07   1.814866E-07
  11.600   1.070411E-05   4.884784E-06   2.629934E-06   1.419410E-06   5.645055E-07   5.132715E-06   3.205726E-06   1.143747E-06   2.828579E-07   1.066251E-07
  11.700   8.680216E-06   4.027129E-06   2.050133E-06   1.073189E-06   4.135596E-07   4.239991E-06   2.680279E-06   8.950361E-07   1.778278E-07   5.422698E-08
  11.800   7.012185E-06   3.320095E-06   1.599775E-06   8.078620E-07   2.997445E-07   3.491935E-06   2.242495E-06   7.055936E-07   1.052193E-07   1.853436E-08
  11.900   5.641462E-06   2.735212E-06   1.250095E-06   6.055747E-07   2.146237E-07   2.865642E-06   1.875553E-06   5.606672E-07   5.632471E-08  -4.860840E-09
  12.000   4.518889E-06   2.250097E-06   9.785181E-07   4.521610E-07   1.515434E-07   2.342240E-06   1.566554E-06   4.491034E-07   2.452646E-08  -1.932113E-08
  12.100   3.603070E-06   1.847044E-06   7.674058E-07   3.364280E-07   1.052773E-07   1.905985E-06   1.305526E-06   3.625229E-07   4.834748E-09  -2.740021E-08
  12.200   2.859080E-06   1.511943E-06   6.030371E-07   2.495755E-07   7.173950E-08   1.543605E-06   1.084665E-06   2.946723E-07  -6.476031E-09  -3.102615E-08
  12.300   2.257438E-06   1.233431E-06   4.747835E-07   1.847227E-07   4.775220E-08   1.243812E-06   8.977691E-07   2.409151E-07  -1.215324E-08  -3.164301E-08
  12.400   1.773273E-06   1.002262E-06   3.744427E-07   1.365224E-07   3.085979E-08   9.969385E-07   7.398150E-07   1.978338E-07  -1.419140E-08  -3.032042E-08
  12.500   1.385636E-06   8.108254E-07   2.957047E-07   1.008466E-07   1.917833E-08   7.946733E-07   6.066558E-07   1.629212E-07  -1.401021E-08  -2.783887E-08
  12.600   1.076936E-06   6.527895E-07   2.337253E-07   7.453144E-08   1.127468E-08   6.298588E-07   4.948013E-07   1.343413E-07  -1.259507E-08  -2.475626E-08
  12.700   8.324491E-07   5.228339E-07   1.847900E-07   5.516994E-08   6.069173E-09   4.963338E-07   4.012642E-07   1.107487E-07  -1.060767E-08  -2.146033E-08
  12.800   6.399132E-07   4.164548E-07   1.460487E-07   4.094511E-08   2.757468E-09   3.888070E-07   3.234540E-07   9.115083E-08  -8.472665E-09  -1.820993E-08
  12.900   4.891634E-07   3.298192E-07   1.153108E-07   3.049606E-08   7.479504E-10   3.027528E-07   2.591039E-07   7.480705E-08  -6.444894E-09  -1.516770E-08
  13.000   3.718229E-07   2.596557E-07   9.088629E-08   2.281131E-08  -3.882161E-10   2.343197E-07   2.062215E-07   6.115451E-08  -4.660975E-09  -1.242589E-08
  13.100   2.810295E-07   2.031702E-07   7.146513E-08   1.714466E-08  -9.566756E-10   1.802505E-07   1.630533E-07   4.975524E-08  -3.178215E-09  -1.002649E-08
  13.200   2.111982E-07   1.579809E-07   5.602528E-08   1.294936E-08  -1.171019E-09   1.378090E-07   1.280604E-07   4.025913E-08  -2.003392E-09  -7.976983E-09
  13.300   1.578132E-07   1.220634E-07   4.376389E-08   9.827205E-09  -1.177049E-09   1.047139E-07   9.989775E-08   3.237870E-08  -1.113505E-09  -6.262318E-09
  13.400   1.172484E-07   9.370626E-08   3.404573E-08   7.489516E-09  -1.071472E-09   7.907743E-08   7.739802E-08   2.587214E-08  -4.702604E-10  -4.853899E-09
  13.500   8.661217E-08   7.147086E-08   2.636473E-08   5.727693E-09  -9.161122E-10   5.935026E-08   5.955575E-08   2.053228E-08  -2.976080E-11  -3.716136E-09
  13.600   6.361504E-08   5.415637E-08   2.031531E-08   4.391161E-09  -7.485661E-10   4.427079E-08   4.551257E-08   1.617953E-08   2.513746E-10  -2.811065E-09
  13.700   4.645709E-08   4.076807E-08   1.557090E-08   3.371091E-09  -5.900465E-10   3.282025E-08   3.454242E-08   1.265732E-08   4.124858E-10  -2.101441E-09
  13.800   3.373334E-08   3.048850E-08   1.186775E-08   2.588518E-09  -4.510544E-10   2.418265E-08   2.603712E-08   9.829058E-09   4.871553E-10  -1.552670E-09
  13.900   2.435495E-08   2.265153E-08   8.992560E-09   1.985772E-09  -3.353888E-10   1.770974E-08   1.949221E-08   7.576076E-09   5.026965E-10  -1.133886E-09
  14.000   1.748404E-08   1.671893E-08   6.772885E-09   1.520349E-09  -2.429083E-10   1.289071E-08   1.449336E-08   5.795918E-09   4.803918E-10  -8.183942E-10
  14.100   1.248045E-08   1.225959E-08   5.069573E-09   1.160583E-09  -1.713754E-10   9.326296E-09   1.070365E-08   4.400896E-09   4.361496E-10  -5.837076E-10
  14.200   8.858516E-09   8.931209E-09   3.770708E-09   8.825972E-10  -1.176394E-10   6.706888E-09   7.851749E-09   3.316700E-09   3.813525E-10  -4.113027E-10
  14.300   6.252330E-09   6.464321E-09   2.786684E-09   6.681765E-10  -7.835658E-11   4.794297E-09   5.721245E-09   2.481017E-09   3.237431E-10  -2.862233E-10
  14.400   4.388156E-09   4.648659E-09   2.046141E-09   5.032713E-10  -5.039350E-11   3.406698E-09   4.141177E-09   1.842171E-09   2.682562E-10  -1.966113E-10
  14.500   3.062602E-09   3.321542E-09   1.492608E-09   3.769497E-10  -3.102378E-11   2.406358E-09   2.977737E-09   1.357779E-09   2.177482E-10  -1.332230E-10
  14.600   2.125577E-09   2.358168E-09   1.081696E-09   2.806501E-10  -1.799481E-11   1.689732E-09   2.127155E-09   9.934644E-10   1.736021E-10  -8.896576E-11
  14.700   1.467067E-09   1.663604E-09   7.787657E-10   2.076416E-10  -9.518657E-12   1.179560E-09   1.509674E-09   7.216506E-10   1.362083E-10  -5.848042E-11
  14.800   1.006978E-09   1.166225E-09   5.569923E-10   1.526262E-10  -4.223133E-12   8.186152E-10   1.064534E-09   5.204537E-10   1.053314E-10  -3.777649E-11
  14.900   6.873781E-10   8.124378E-10   3.957630E-10   1.114381E-10  -1.086212E-12   5.648204E-10   7.458477E-10   3.726898E-10   8.037784E-11  -2.392525E-11
  15.000   4.666453E-10   5.624592E-10   2.793644E-10   8.081161E-11   6.321724E-13   3.874581E-10   5.192493E-10   2.650046E-10   6.058396E-11  -1.480772E-11
  15.100   3.150670E-10   3.869931E-10   1.959144E-10   5.819858E-11   1.453214E-12   2.642626E-10   3.592179E-10   1.871244E-10   4.514037E-11  -8.912423E-12
  15.200   2.115693E-10   2.646336E-10   1.364999E-10   4.162238E-11   1.733537E-12   1.792074E-10   2.469547E-10   1.312227E-10   3.326937E-11  -5.176720E-12
  15.300   1.413010E-10   1.798599E-10   9.448936E-11   2.956011E-11   1.709598E-12   1.208365E-10   1.687230E-10   9.139424E-11   2.426819E-11  -2.864418E-12
  15.400   9.386199E-11   1.215037E-10   6.498792E-11   2.084718E-11   1.532580E-12   8.101659E-11   1.145644E-10   6.322518E-11   1.752870E-11  -1.473242E-12
  15.500   6.201468E-11   8.158828E-11   4.441172E-11   1.460009E-11   1.294872E-12   5.401268E-11   7.731479E-11   4.344619E-11   1.254179E-11  -6.659788E-13
